,unique_date,id,created_at,text,fav,RT,date
2017-02-18,2017-02-18,,,,,,
2017-02-19,2017-02-19,,,,,,
2017-02-20,2017-02-20,8.338170507201085e+17,2017-02-20 23:14:11,How the Latest COIN ETF Amendment Could Hurt Its Investors (and Perhaps Harm #Bitcoin Too) #etf #trading… https://t.co/LfJ4ovwlJB,39.0,33.0,2017-02-20
2017-02-21,2017-02-21,8.34131609699885e+17,2017-02-21 20:04:07,Blockchain Capital Lures #Bitcoin Analyst Away from Wall Street Firm https://t.co/ZoQSxqv6do #blockchain #fintech… https://t.co/2IhDtZEe4z,23.0,34.0,2017-02-21
2017-02-22,2017-02-22,8.342350564240957e+17,2017-02-22 02:55:11,Bitcoin Price Analysis: New Highs Are Nigh https://t.co/QCZXUcqM6a #bitcoin #bitcoinprice https://t.co/vLejyuwpDv,21.0,29.0,2017-02-22
2017-02-23,2017-02-23,8.348420847838454e+17,2017-02-23 19:07:18,Danish Police Can Now Catch Criminals Who Used Bitcoin https://t.co/SgwKGBkVjY #bitcoin #DarkWeb #blockchain https://t.co/bMgb0AtVar,24.0,27.0,2017-02-23
2017-02-24,2017-02-24,8.352539882201539e+17,2017-02-24 22:24:03,Using a Bitcoin Service? You May Need to Change Your Password (Now) https://t.co/9mZBpLz0SN #cloudflare #cloudbleed #bitcoin #Security,17.0,20.0,2017-02-24
2017-02-25,2017-02-25,,,,,,
2017-02-26,2017-02-26,8.359851863954063e+17,2017-02-26 22:49:34,ICYMI: Bitcoin’s Capacity Increase from Segregated Witness Could Kick in Fast https://t.co/NstG9hXBzs #bitcoin… https://t.co/CgjUGJqm1O,32.0,34.0,2017-02-26
2017-02-27,2017-02-27,8.360055761234944e+17,2017-02-27 00:10:36,ICYMI: #Bitcoin Price Analysis: New All-Time Highs Driven by USD Demand https://t.co/NKCJUL11Qa #bitcoinprice… https://t.co/ooYSGyQ22q,21.0,17.0,2017-02-27
2017-02-28,2017-02-28,8.364744838797722e+17,2017-02-28 07:13:52,ビットコイン 今日の相場・戦略　2017年2月28日 - https://t.co/kIRlu68maB #ビットコイン https://t.co/6XrNK7nFRA,10.0,4.0,2017-02-28
2017-03-01,2017-03-01,8.370711626181755e+17,2017-03-01 22:44:51,"ICYMI: Bloq Acquires Skry, Supercharges #Blockchain Analytics With #AI and Machine Learning https://t.co/AjMZAmCbLE… https://t.co/vVROJpJUjh",19.0,12.0,2017-03-01
2017-03-02,2017-03-02,8.373062719886131e+17,2017-03-02 14:19:06,AlphaPoint Completes #Blockchain Trial With Scotiabank https://t.co/w5HBZEKYz0 #fintech @AlphaPointLive @scotiabank https://t.co/jCxkVH6LZi,8.0,7.0,2017-03-02
2017-03-03,2017-03-03,8.377481834638377e+17,2017-03-03 19:35:06,Japanese Banks Plan to Make Payments Using @Ripple Blockchain https://t.co/dozo2W4gG4 #blockchain #fintech… https://t.co/YUFzOauuM3,35.0,64.0,2017-03-03
2017-03-04,2017-03-04,8.378253779763405e+17,2017-03-04 00:41:50,How Russia Plans to Boost Blockchain Development Now https://t.co/QF2al5rlW3 #russia #blockchain #fintech https://t.co/Q8mhQfBwnL,22.0,49.0,2017-03-04
2017-03-05,2017-03-05,,,,,,
2017-03-06,2017-03-06,8.388463804372869e+17,2017-03-06 20:18:56,Circle Still Uses #Bitcoin — But Is Also Building on #Ethereum https://t.co/JkKfWRCLFk @circlepay #payments #fintech https://t.co/8M51qULtE1,29.0,60.0,2017-03-06
2017-03-07,2017-03-07,8.391542410465239e+17,2017-03-07 16:42:16,New Regulatory Sandbox Could Boost #Blockchain Tech in Canada https://t.co/RcOP5HlmKa #canada #fintech… https://t.co/ZLOyG7dxXr,29.0,67.0,2017-03-07
2017-03-08,2017-03-08,8.395593942160548e+17,2017-03-08 19:32:12,Can Ethereum Classic Classic Become Ethereum Classic’s Ethereum Classic? https://t.co/nfOBEkmpnZ #ethereum… https://t.co/ztzy62WwgG,15.0,49.0,2017-03-08
