,date,average block size,difficulty,estimated transaction volumes in usd,estimated transaction volumes,hash rate,market capitalization,miners revenues,number of orphaned blocks,number of transactions per blocks,number of unique addresses,total bitcoins,trade volumes,transaction fees,price
200,2017-07-26 00:00:00,0.9673388231292516,804525194568.0,676202732.8508737,271020.03428842,5878995.158833412,41097019288.87946,4829127.82765,4829127.82765,1618.047619047619,460146.0,16471562.5,16471562.5,167.53481996,2495.028585714286
201,2017-07-27 00:00:00,0.9236066363636364,836351931635.4286,827890554.6047918,312691.77266599,6585327.485297888,43615617342.1875,5348202.5,5348202.5,1463.435064935065,443425.0,16473487.5,16473487.5,166.27056958,2647.625
202,2017-07-28 00:00:00,0.9168634066666668,860221984436.0,1328334473.746265,477537.03043209,6414280.0181472935,45828471053.678116,5563273.166666666,5563273.166666666,1648.0466666666666,487086.0,16475362.5,16475362.5,188.43132327,2781.636583333333
203,2017-07-29 00:00:00,0.8722031528662421,860221984436.0,928609716.2639904,341085.52993273,6713613.085660834,44859727986.86965,5536229.74975,5536229.74975,1344.8025477707006,416822.0,16477325.0,16477325.0,156.46665323,2722.512785714286
204,2017-07-30 00:00:00,0.8103373605442177,860221984436.0,1121219506.5610485,408316.71911196,6285994.417784347,45251045529.0052,5226926.135624999,5226926.135624999,1252.687074829932,386558.0,16479162.5,16479162.5,138.11682207,2745.9554166666658
205,2017-07-31 00:00:00,0.9267220137931036,860221984436.0,1772644310.5877647,618414.99003852,6200470.6842090525,47241588637.54167,5550844.9225,5550844.9225,1593.1862068965518,485988.0,16480975.0,16480975.0,194.86886623,2866.431666666667
206,2017-08-01 00:00:00,0.7252916308724833,860221984436.0,1369195845.96077,505161.32127589,6371518.151359645,44675298135.74333,5102352.597999998,5102352.597999998,885.0671140939598,301131.0,16482837.5,16482837.5,75.94662047,2710.4130666666665
207,2017-08-02 00:00:00,0.8780834671052631,860221984436.0,1412768876.8473947,524484.35295545,6499803.751722589,44403849136.329384,5295684.411233334,5295684.411233334,1377.1118421052633,403175.0,16484737.5,16484737.5,130.51485681,2693.6339833333336
208,2017-08-03 00:00:00,0.8688547101449275,860221984436.0,970956325.8441828,347500.15006616,5901137.61669551,46065116956.41061,5009853.065983333,5009853.065983333,1543.6014492753625,427728.0,16486462.5,16486462.5,124.10595421,2794.117716666666
209,2017-08-04 00:00:00,0.9241476480446928,860221984436.0,1196484564.9991226,416334.92143627,7654374.154989103,47386068357.75834,6553817.395541668,6553817.395541668,1317.2737430167595,467900.0,16488700.0,16488700.0,113.47123621,2873.851083333333
210,2017-08-05 00:00:00,0.8812315932203392,860221984436.0,983755829.8746344,305693.18522792,7568850.421413807,53069653154.78604,7255240.305075,7255240.305075,1354.638418079096,463849.0,16490912.5,16490912.5,113.56678695,3218.115016666666
211,2017-08-06 00:00:00,0.7864340071428572,860221984436.0,1044204487.0596856,321040.55690193,5986661.350270805,53643416122.41167,5802571.5594666675,5802571.5594666675,1425.9071428571426,408435.0,16492662.5,16492662.5,87.90639938,3252.5625333333332
212,2017-08-07 00:00:00,0.9436978235294116,860221984436.0,1385571339.143034,406656.61751305,6542565.61851024,56200758544.42917,6700311.56775,6700311.56775,1627.4640522875818,512717.0,16494575.0,16494575.0,121.82649183,3407.2268333333336
213,2017-08-08 00:00:00,0.9792477073170732,860221984436.0,1245606695.5582724,360275.33482536,7012946.153174372,57035007861.625,7395323.699,7395323.699,1680.3292682926829,587787.0,16496625.0,16496625.0,159.06311046,3457.374333333333
214,2017-08-09 00:00:00,0.954165920289855,888074709977.5363,807119553.20315,240405.45275459,6333394.737368573,55390344636.577515,6117048.548966668,6117048.548966668,1890.9782608695648,532314.0,16498350.0,16498350.0,157.95191308,3357.326316666667
215,2017-08-10 00:00:00,0.9812816417910448,923233068448.0,963128414.0931604,281254.30230846,6149818.078314411,56502754910.105,6163927.560000001,6163927.560000001,1925.1119402985073,550474.0,16500025.0,16500025.0,193.18600285,3424.4042000000004
216,2017-08-11 00:00:00,0.9671709027777776,923233068448.0,991542730.4228752,272963.77444305,6608759.725949816,59942989324.66665,7130610.586666668,7130610.586666668,1972.229166666667,580987.0,16501825.0,16501825.0,234.94470226,3632.506666666666
217,2017-08-12 00:00:00,0.9799150296296296,923233068448.0,870629381.104836,225972.98654355,6195712.243077952,63584781055.95072,7067966.946257142,7067966.946257142,1929.7851851851847,530699.0,16503512.5,16503512.5,210.75240215,3852.802914285715
218,2017-08-13 00:00:00,0.9833201554054054,923233068448.0,926444961.9565744,224562.88412238,6792336.385003977,68093665581.25725,8147957.339500002,8147957.339500002,1779.1216216216214,516470.0,16505362.5,16505362.5,189.71104645,4125.54802
219,2017-08-14 00:00:00,0.9552627615384616,923233068448.0,873611922.4864823,203972.34514715,5966241.41926025,70699295406.6,7782196.464000002,7782196.464000002,1964.323076923077,542909.0,16506987.5,16506987.5,249.18827382,4282.992
220,2017-08-15 00:00:00,0.9750699013157894,923233068448.0,1206087776.3574073,286004.19119451,6975913.0440581385,69618446260.69875,9146734.444671428,9146734.444671428,2046.0657894736842,650899.0,16508887.5,16508887.5,350.45038263,4217.028328571429
221,2017-08-16 00:00:00,0.9667277076923076,923233068448.0,982522797.1334537,225303.95287487,5966241.41926025,72000312096.68233,8320553.070685714,8320553.070685714,2114.353846153846,543436.0,16510512.5,16510512.5,347.52500864,4360.876871428572
222,2017-08-17 00:00:00,0.9786816033519552,923233068448.0,1318331836.483472,304554.25517204,8215055.49267373,71479165577.8875,10849951.008825,10849951.008825,1940.3296089385474,631515.0,16512750.0,16512750.0,365.31634907,4328.725716666667
223,2017-08-18 00:00:00,0.9599873624161074,923233068448.0,1137241535.0130804,275331.80887693,6838230.5497675175,68212617155.474174,8775119.921633335,8775119.921633335,2095.6375838926174,580732.0,16514612.5,16514612.5,337.96192313,4130.440066666667
224,2017-08-19 00:00:00,0.9664551589403974,923233068448.0,1323689299.8684769,313472.69392998,6930018.8792945985,69743600462.25,8768358.087964285,8768358.087964285,1767.0993377483444,535350.0,16516500.0,16516500.0,265.91179874,4222.662214285714
225,2017-08-20 00:00:00,0.961449,923233068448.0,755018135.82287,181583.87597231,5966241.41926025,68681670539.354164,7392849.383266668,7392849.383266668,1621.9384615384615,444725.0,16518125.0,16518125.0,208.98199629,4157.958033333333
226,2017-08-21 00:00:00,0.9764870000000001,923233068448.0,819457187.4881102,202649.23936119,5277828.947807143,66800518311.625,6787387.377,6787387.377,2058.8869565217387,501755.0,16519562.5,16519562.5,297.96496476,4043.722
227,2017-08-22 00:00:00,0.9981752359550562,923233068448.0,881477645.717734,215933.01456173,4084580.6639550943,67440385316.830414,5749751.915025,5749751.915025,2205.4269662921347,419158.0,16520675.0,16520675.0,334.18474511,4082.180983333333
228,2017-08-23 00:00:00,0.9865106666666668,923233068448.0,1059426386.839234,253757.86221134,7297172.1974029215,68981289804.375,10230714.975,10230714.975,1985.748427672956,628516.0,16522662.5,16522662.5,541.97068152,4174.95
229,2017-08-24 00:00:00,0.9387862277227722,891643263404.6238,756043560.9375308,174190.8736831,4459277.507650397,71719067902.44626,6929315.6381583335,6929315.6381583335,2017.8712871287128,423332.0,16523925.0,16523925.0,385.99923422,4340.316716666667
230,2017-08-25 00:00:00,0.92875899009901,888171856257.0,765174341.3959026,175375.84051831,4459277.507650397,72100292858.95938,7153227.770775,7153227.770775,2061.0792079207918,471224.0,16525187.5,16525187.5,425.81587924,4363.05445
231,2017-08-26 00:00:00,0.9982181523809524,888171856257.0,696876277.1330239,159815.1929658,4635882.557458333,72064023327.89166,7319121.6020249985,7319121.6020249985,2157.0,472784.0,16526500.0,16526500.0,425.31312205,4360.5133166666665
232,2017-08-27 00:00:00,0.9908020129032258,888171856257.0,781459739.10363,179468.16791116,6843445.680057538,71969913143.22917,9642615.804166667,9642615.804166667,1689.6193548387093,509082.0,16528437.5,16528437.5,358.84272769999995,4354.308333333333
233,2017-08-28 00:00:00,0.9813002325581396,888171856257.0,925154460.7864901,210661.02871160003,5695512.856305951,72594582814.17583,8451775.682825001,8451775.682825001,1734.6589147286822,504370.0,16530050.0,16530050.0,378.17846684,4391.673516666667
234,2017-08-29 00:00:00,0.9981771140939596,888171856257.0,1144825472.108911,248443.81227569,6578538.105345633,76178812260.67313,10384095.211575,10384095.211575,1886.6845637583888,593017.0,16531912.5,16531912.5,461.76014165,4607.98545
235,2017-08-30 00:00:00,0.983372113095238,888171856257.0,1010875740.7522805,219995.30221876,7417412.091933332,75973586549.24814,11046350.7914,11046350.7914,1615.8690476190475,565808.0,16534012.5,16534012.5,388.49753062,4594.98785
236,2017-08-31 00:00:00,0.9816415337423312,888171856257.0,1192190047.0720818,251079.61705344,7196655.779673412,78517382092.75,11260486.7325,11260486.7325,1722.2331288343555,589297.0,16536050.0,16536050.0,413.21489691,4748.255
237,2017-09-01 00:00:00,0.9718795862068964,888171856257.0,1228012219.9381466,250015.72065525,7682319.666645237,81231461537.13707,12131997.841166666,12131997.841166666,1630.287356321839,591520.0,16538225.0,16538225.0,382.74200641,4911.740016666667
